date,gdpd,urate,ffr
1997-01-01,3.03916,7.366667,4.023333
1997-04-01,2.231587,7.6,3.77
1997-07-01,1.306906,7.633333,3.256667
1997-10-01,2.514641,7.366667,3.036667
1998-01-01,3.314163,7.133333,3.04
1998-04-01,2.137442,7.066667,3.0
1998-07-01,1.786667,6.8,3.06
1998-10-01,2.327679,6.633333,2.99
1999-01-01,2.062403,6.566667,3.213333
1999-04-01,1.801144,6.2,3.94
1999-07-01,2.375131,6.0,4.486667
1999-10-01,1.906542,5.633333,5.166667
2000-01-01,2.924983,5.466667,5.81
2000-04-01,1.679384,5.666667,6.02
2000-07-01,1.794457,5.666667,5.796667
2000-10-01,1.948451,5.566667,5.72
2001-01-01,2.46254,5.533333,5.363333
2001-04-01,1.406118,5.5,5.243333
2001-07-01,1.920388,5.266667,5.306667
2001-10-01,1.633062,5.333333,5.28
2002-01-01,2.81231,5.266667,5.276667
2002-04-01,1.890139,5.0,5.523333
2002-07-01,1.176818,4.866667,5.533333
2002-10-01,1.446656,4.666667,5.506667
2003-01-01,0.974517,4.666667,5.52
2003-04-01,1.127473,4.433333,5.5
2003-07-01,1.472584,4.5,5.533333
2003-10-01,1.120178,4.433333,4.86
2004-01-01,2.269346,4.3,4.733333
2004-04-01,1.378388,4.3,4.746667
2004-07-01,0.916293,4.233333,5.093333
2004-10-01,1.33251,4.1,5.306667
2005-01-01,3.255436,4.033333,5.676667
2005-04-01,2.368094,4.033333,6.273333
2005-07-01,1.570976,4.0,6.52
2005-10-01,2.047945,3.966667,6.473333
